group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_support,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_support,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_support,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
Exponentials,exp,f256,exp,primary,primary,213,boost::multiprecision::mpfr_float_backend<64>,yes,212.83,262.57,100,Both,0,228.466,100,Both,212.83,0,902.65,1283.69,1.42213,boost::multiprecision::mpfr_float_backend<64>,34.1043,212.83,0,1.42213,yes,0,256.403,100,Both,212.83,0,2018.65,2.23636
Exponentials,exp2,f256,exp2,primary,primary,213,boost::multiprecision::mpfr_float_backend<64>,yes,214.062,281.753,100,Both,208.508,244.674,100,Both,5.55411,0,797.562,1914.42,2.40034,boost::multiprecision::mpfr_float_backend<64>,37.079,5.55411,0,2.40034,no,-,-,-,-,-,-,-,-
Exponentials,expm1,f256,expm1,primary,primary,213,boost::multiprecision::mpfr_float_backend<64>,yes,212.83,277.974,100,Both,0,223.148,100,Both,212.83,0,933.041,1787.28,1.91554,boost::multiprecision::mpfr_float_backend<64>,54.8259,212.83,0,1.91554,yes,-0,269.971,79.953,NaN,212.83,20.047,2184.45,2.34122
Logarithms,log,f256,log,primary,primary,213,boost::multiprecision::mpfr_float_backend<64>,yes,215.453,292.732,100,Both,214.1,230.524,100,Both,1.35355,0,1612.46,2983.28,1.85015,boost::multiprecision::mpfr_float_backend<64>,62.2083,1.35355,0,1.85015,yes,182.203,289.484,78.1887,NaN,33.2504,21.8113,6506.43,4.0351
Logarithms,log2,f256,log2,primary,primary,213,boost::multiprecision::mpfr_float_backend<64>,yes,214.81,269.375,100,Both,214.093,235.376,100,Both,0.716398,0,1644.63,3593.04,2.18471,boost::multiprecision::mpfr_float_backend<64>,33.9983,0.716398,0,2.18471,no,-,-,-,-,-,-,-,-
Logarithms,log10,f256,log10,primary,primary,213,boost::multiprecision::mpfr_float_backend<64>,yes,214.511,278.012,100,Both,214.031,229.978,100,Both,0.480501,0,1644.68,5318.44,3.23372,boost::multiprecision::mpfr_float_backend<64>,48.034,0.480501,0,3.23372,yes,182.203,239.439,78.1149,NaN,32.3084,21.8851,7509.67,4.56603
Logarithms,log1p,f256,log1p,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,214.536,265.997,100,Both,213.037,231.336,100,Both,1.49945,0,1685.43,3111.57,1.84616,boost::multiprecision::mpfr_float_backend<64>,34.6612,1.49945,0,1.84616,yes,6.56927,257.767,80.5582,NaN,207.967,19.4418,6917.99,4.10459
Trigonometric,sin,f256,sin,primary,primary,224,boost::multiprecision::mpfr_float_backend<64>,yes,215.541,290.736,100,Both,199.001,208.346,95.5352,Both,16.5397,4.46479,838.157,1727.86,2.0615,boost::multiprecision::mpfr_float_backend<64>,82.3904,16.5397,4.46479,2.0615,yes,149.977,204.519,77.637,Both,65.5631,22.363,1867.2,2.22775
Trigonometric,cos,f256,cos,primary,primary,224,boost::multiprecision::mpfr_float_backend<64>,yes,215,286.849,100,Both,199.001,210.156,95.5584,Both,15.9991,4.44159,861.412,1808.44,2.09939,boost::multiprecision::mpfr_float_backend<64>,76.6926,15.9991,4.44159,2.09939,yes,149.977,204.485,77.6529,Both,65.0225,22.3471,1908.96,2.21608
Trigonometric,tan,f256,tan,primary,primary,216,boost::multiprecision::mpfr_float_backend<64>,yes,213.017,247.088,100,Both,194.184,205.367,94.4545,Both,18.8329,5.54547,1085.62,2136.16,1.96769,boost::multiprecision::mpfr_float_backend<64>,41.7211,18.8329,5.54547,1.96769,yes,149.968,202.583,77.0534,Both,63.0482,22.9466,2301.76,2.12022
Trigonometric,asin,f256,asin,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,214.023,267.992,100,Both,208.731,228.839,100,Both,5.29171,0,1321.22,6200.81,4.69325,boost::multiprecision::mpfr_float_backend<64>,39.1528,5.29171,0,4.69325,yes,213.541,237.513,100,No,0.482158,0,8401.74,6.35909
Trigonometric,acos,f256,acos,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,214.113,267.527,100,Both,208.078,232.378,100,Both,6.03465,0,1348.86,6376.62,4.72741,boost::multiprecision::mpfr_float_backend<64>,35.1491,6.03465,0,4.72741,yes,213.43,250.722,100,No,0.682808,0,8699.66,6.44963
Trigonometric,atan,f256,atan,primary,primary,213,boost::multiprecision::mpfr_float_backend<64>,yes,214.651,293.16,100,Both,214.58,253.669,100,Both,0.0714049,0,885.912,2279.06,2.57256,boost::multiprecision::mpfr_float_backend<64>,39.4904,0.0714049,0,2.57256,yes,214.415,277.459,39.6915,NaN,0.236459,60.3085,6323.29,7.13761
Trigonometric,atan2,f256,atan2,primary,primary,211,boost::multiprecision::mpfr_float_backend<64>,yes,214.651,273.062,97.1549,Both,214,237.886,100,Both,0.651496,-2.8451,1065.03,5707.29,5.35879,boost::multiprecision::mpfr_float_backend<64>,35.176,0.651496,-2.8451,5.35879,yes,0,256.256,25.9127,NaN,214.651,71.2422,6570.2,6.16901
