group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_support,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_support,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (dd_real)_supported,qdpp (dd_real)_worst_bits,qdpp (dd_real)_mean_bits,qdpp (dd_real)_domain_score,qdpp (dd_real)_inf_nan_support,qdpp (dd_real)_gap_bits,qdpp (dd_real)_domain_gap_pp,qdpp (dd_real)_ns_iter,qdpp (dd_real)_speed_ratio
Inverse hyperbolic,atanh,f128,atanh,primary,primary,414,boost::multiprecision::cpp_double_double,yes,105.035,131.616,99.5784,Both,102.541,121.63,97.9076,Both,2.49465,1.67079,108.015,1663.77,15.4031,qdpp (dd_real),7.30402,103.035,19.4594,1.55394,yes,2,124.312,80.119,Both,103.035,19.4594,167.849,1.55394
Special functions,erfc,f128,erfc,primary,primary,422,boost::multiprecision::cpp_double_double,yes,105.193,136.679,99.8109,Both,103.259,137.126,99.4836,Both,1.93411,0.327363,546.808,1209.87,2.2126,boost::multiprecision::cpp_double_double,-0.446766,1.93411,0.327363,2.2126,no,-,-,-,-,-,-,-,-
Special functions,erf,f128,erf,primary,primary,422,boost::multiprecision::cpp_double_double,yes,104.678,145.65,99.8107,Both,102.678,147.439,99.5339,Both,2,0.276768,543.014,1212.94,2.23372,boost::multiprecision::cpp_double_double,-1.78977,2,0.276768,2.23372,no,-,-,-,-,-,-,-,-
Special functions,tgamma,f128,tgamma,primary,primary,422,boost::multiprecision::cpp_double_double,yes,96.761,119.864,92.5288,Both,96.1471,108.484,73.3706,Both,0.613878,19.1582,462.574,2181.5,4.716,boost::multiprecision::cpp_double_double,11.3804,0.613878,19.1582,4.716,no,-,-,-,-,-,-,-,-
Special functions,lgamma,f128,lgamma,primary,primary,422,boost::multiprecision::cpp_double_double,yes,102.792,120.375,98.6954,Both,100.286,109.192,78.2709,Both,2.50619,20.4245,526.019,2607.06,4.95621,boost::multiprecision::cpp_double_double,11.183,2.50619,20.4245,4.95621,no,-,-,-,-,-,-,-,-
Comparisons,operator==,f128,operator==,primary,primary,417,boost::multiprecision::cpp_double_double,yes,160,160,100,Both,160,160,79.9943,Both,0,20.0057,2.1532,6.62089,3.07491,qdpp (dd_real),0,0,0,0.99143,yes,160,160,100,Both,0,0,2.13474,0.99143
Comparisons,operator!=,f128,operator!=,primary,primary,417,boost::multiprecision::cpp_double_double,yes,160,160,100,Both,160,160,79.9943,Both,0,20.0057,2.12811,6.7936,3.19231,qdpp (dd_real),0,0,0,1.00327,yes,160,160,100,Both,0,0,2.13506,1.00327
Comparisons,operator<,f128,operator<,primary,primary,417,boost::multiprecision::cpp_double_double,yes,160,160,100,Both,160,160,100,Both,0,0,2.55287,6.51648,2.55261,qdpp (dd_real),0,0,0,0.935884,yes,160,160,100,Both,0,0,2.38919,0.935884
Comparisons,operator>,f128,operator>,primary,primary,417,boost::multiprecision::cpp_double_double,yes,160,160,100,Both,160,160,79.9943,Both,0,20.0057,2.60024,6.66704,2.564,qdpp (dd_real),0,0,0,0.932704,yes,160,160,100,Both,0,0,2.42526,0.932704
Comparisons,operator<=,f128,operator<=,primary,primary,417,boost::multiprecision::cpp_double_double,yes,160,160,100,Both,160,160,79.9943,Both,0,20.0057,2.56531,6.66749,2.59909,qdpp (dd_real),0,0,0,0.952362,yes,160,160,100,Both,0,0,2.44311,0.952362
Comparisons,operator>=,f128,operator>=,primary,primary,417,boost::multiprecision::cpp_double_double,yes,160,160,100,Both,160,160,100,Both,0,0,2.69278,6.70022,2.48821,qdpp (dd_real),0,0,0,0.885159,yes,160,160,100,Both,0,0,2.38354,0.885159
