group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_correct,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
IO,"to_string(tiny, 15, scientific)",f256,"to_string(tiny, 15, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,282.625,559.475,1.97957,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.97957,yes,exact,320,100,-,0,0,1971.22,6.9747
IO,"to_string(tiny, 31, default)",f256,"to_string(tiny, 31, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,315.475,612.35,1.94104,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.94104,no,-,-,-,-,-,-,-,-
IO,"to_string(tiny, 31, fixed)",f256,"to_string(tiny, 31, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,1015.42,976.3,0.961469,boost::multiprecision::mpfr_float_backend<64>,0,0,0,0.961469,yes,exact,320,100,-,0,0,17566.9,17.3
IO,"to_string(tiny, 31, hexfloat)",f256,"to_string(tiny, 31, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,exact,320,100,-,-,-,-,-,-,-,377.45,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(tiny, 31, scientific)",f256,"to_string(tiny, 31, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,313.475,618.75,1.97384,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.97384,yes,106.041,319.786,89.9788,-,exact,10.0212,2874.43,9.16955
IO,"to_string(tiny, 63, default)",f256,"to_string(tiny, 63, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,402.8,679.05,1.68582,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.68582,no,-,-,-,-,-,-,-,-
IO,"to_string(tiny, 63, fixed)",f256,"to_string(tiny, 63, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,1545.42,1147.12,0.742272,boost::multiprecision::mpfr_float_backend<64>,0,0,0,0.742272,yes,exact,320,100,-,0,0,18132.6,11.7331
IO,"to_string(tiny, 63, hexfloat)",f256,"to_string(tiny, 63, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,exact,320,100,-,-,-,-,-,-,-,367.7,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(tiny, 63, scientific)",f256,"to_string(tiny, 63, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,399.1,679.525,1.70264,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.70264,yes,209.74,318.593,99.7855,-,exact,0.214461,4708.57,11.798
IO,to_string (average),f256,to_string (average),io,primary,5000,boost::multiprecision::mpfr_float_backend<64>,yes,3.02786,316.116,61.6804,-,128,316.608,69.47,-,-124.972,-7.7896,635.775,822.11,1.29308,boost::multiprecision::mpfr_float_backend<64>,-0.491856,-124.972,-7.7896,1.29308,yes,0,314.314,61.1827,-,3.02786,0.497708,8409.19,13.2267
